year,origin_country_iso2,host_country_iso3,host_country_name,indicator_id,indicator_label,count,magnitude,qualifier,source_release,source_url,as_of
2020,RS,AFG,Afghanistan,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",0,NIL,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,ALB,Albania,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",186,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,AND,Andorra,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",0,NIL,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,ARG,Argentina,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",3,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,ARM,Armenia,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",2,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,AUS,Australia,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",95,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,AUT,Austria,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",1545.231811523438,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,AZE,Azerbaijan,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",0,NIL,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,BEL,Belgium,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",72,,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,BEN,Benin,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",0,NIL,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
2020,RS,BFA,Burkina Faso,26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)",0,NIL,,UIS BDDS Education OPRI (202509 - September 2025),https://download.uis.unesco.org/bdds/202509/OPRI.zip,2025-12-22
